serial	gene_name	short_description	Curator_summary	Computational_description
146	AT1G65310		Encodes a xyloglucan endotransglucosylase/hydrolase with only only the endotransglucosylase (XET; EC   2.4.1.207) activity towards xyloglucan and non-detectable endohydrolytic (XEH; EC 3.2.1.151) activity. Expressed in the mature or basal regions of both the main and lateral roots, but not in the tip of these roots where cell division occurs.	xyloglucan endotransglucosylase/hydrolase 17;(source:Araport11)
147	AT1G65450	HXXXD-type acyl-transferase family protein	Contains dual transcription units and alternative splicing that could rescue the sterility defect of glc mutants. Shares homology to BAHD (for BEAT, AHCT, HCBT, and DAT) acyl-transferases. Functions in double fertilization.	HXXXD-type acyl-transferase family protein;(source:Araport11)
148	AT1G65790		An alternatively spliced gene that encodes a functional transmembrane receptor serine/threonine kinase, alternate form may not have transmembrane domain.	receptor kinase 1;(source:Araport11)
149	AT1G65860	flavin-monooxygenase glucosinolate S-oxygenase 1	belongs to the flavin-monooxygenase (FMO) family, encodes a glucosinolate S-oxygenase that catalyzes the conversion of methylthioalkyl glucosinolates to methylsulfinylalkyl glucosinolates	flavin-monooxygenase glucosinolate S-oxygenase 1;(source:Araport11)
150	AT1G66140	zinc finger protein 4	Encodes a zinc finger protein containing only a single zinc finger.	zinc finger protein 4;(source:Araport11)
151	AT1G66460			Protein kinase superfamily protein;(source:Araport11)
152	AT1G66910			Protein kinase superfamily protein;(source:Araport11)
153	AT1G66970		Encodes a member of the glycerophosphodiester phosphodiesterase like (GDPD-like) family.	SHV3-like 2;(source:Araport11)
154	AT1G67040			DnaA initiator-associating protein;(source:Araport11)
155	AT1G67120		Represents a homolog of the yeast MDN gene, which encodes a non-ribosomal protein involved in the maturation and assembly of the 60S ribosomal subunit. In Arabidopsis, it is essential for female gametogenesis progression.	midasin-like protein;(source:Araport11)
156	AT1G67310	Calmodulin-binding transcription activator protein with CG-1 and Ankyrin domains		Calmodulin-binding transcription activator protein with CG-1 and Ankyrin domain;(source:Araport11)
157	AT1G67420			Zn-dependent exopeptidases superfamily protein;(source:Araport11)
158	AT1G67500		Encodes the catalytic subunit of DNA polymerase zeta.Mutants are sensitive to UV-B radiation. Gene is involved in damage-tolerance mechanisms through translesion synthesis(TLS).	recovery protein 3;(source:Araport11)
159	AT1G67560	PLAT/LH2 domain-containing lipoxygenase family protein		PLAT/LH2 domain-containing lipoxygenase family protein;(source:Araport11)
160	AT1G67590	Remorin family protein		Remorin family protein;(source:Araport11)
161	AT1G67620	Lojap-related protein		Lojap-related protein;(source:Araport11)
162	AT1G67840	chloroplast sensor kinase	Encodes a chloroplast sensor kinase (CSK) that shares common ancestors with cyanobacterial histidine sensor kinases.  CSK is synthesised in the cytosol and imported into the chloroplast as a protein precusor. CSK is autophosphorylated and required for control of transcription of chloroplast genes by the redox state of an electron carrier connecting photosystems I and II.	chloroplast sensor kinase;(source:Araport11)
163	AT1G67870	glycine-rich protein		glycine-rich protein;(source:Araport11)
164	AT1G68238			transmembrane protein;(source:Araport11)
165	AT1G68840	related to ABI3/VP1 2	Rav2 is part of a complex that has been named `regulator of the (H+)-ATPase of the vacuolar and endosomal membranes' (RAVE) The mRNA is cell-to-cell mobile.	related to ABI3/VP1 2;(source:Araport11)
166	AT1G68990	male gametophyte defective 3	MGP3 (male gametophyte-defective 3) belongs to a small family of nuclear-encoded Phage type RNA polymerases (RPOTs) involved in the transcription of mitochondrial genes in Arabidopsis thaliana. Mutation in MGP 3 significantly retarded pollen tube growth and caused defective embryo development.	male gametophyte defective 3;(source:Araport11)
167	AT1G69070			nucleolar-like protein;(source:Araport11)
168	AT1G69200	fructokinase-like 2	Encodes a fructokinase-like protein (AT3G54090/FLN1, AT1G69200/FLN2), a member of the pfkB-carbohydrate kinase family.  FLN1 and FLN2 are potential plastidial thioredoxin z (TRX z) targets. Mutants display mutant chloroplast development, general plant growth and development defects and defects in PEP-dependent transcription. The mRNA is cell-to-cell mobile.	fructokinase-like protein;(source:Araport11)
169	AT1G70250	receptor serine/threonine kinase, putative	Encodes a Protease inhibitor/seed storage/LTP family protein.	receptor serine/threonine kinase;(source:Araport11)
170	AT1G70320	ubiquitin-protein ligase 2	encodes a ubiquitin-protein ligase-like protein containing a HECT domain. There are six other HECT-domain UPLs in Arabidopsis.	ubiquitin-protein ligase 2;(source:Araport11)
171	AT1G70830	MLP-like protein 28		MLP-like protein 28;(source:Araport11)
172	AT1G70890	MLP-like protein 43		MLP-like protein 43;(source:Araport11)
173	AT1G71240			chromosome-partitioning protein, putative (DUF639);(source:Araport11)
174	AT1G71890	Major facilitator superfamily protein	Encodes a sucrose transporter that is expressed in the endosperm. Mutants have delayed accumulation of fatty acids and embryo maturation.	Major facilitator superfamily protein;(source:Araport11)
175	AT1G72120	Major facilitator superfamily protein		Major facilitator superfamily protein;(source:Araport11)
176	AT1G72300	Leucine-rich receptor-like protein kinase family protein	Encodes a leucine-rich repeat receptor kinase (LRR-RK) involved in the perception of PSY1.  PSY1 is an 18-aa tyrosine-sulfated glycopeptide encoded by AT5G58650 that promotes cellular proliferation and expansion.	Leucine-rich receptor-like protein kinase family protein;(source:Araport11)
177	AT1G73177		The BONSAI gene encodes a protein with similarity to the APC13 component of the Anaphase Promoting Complex. Plants with lowered level of BONSAI expression, resulting from hypomethylation, RNAi knock-down, or a T-DNA insertion show some abnormalities in shoot and inflorescence development.	bonsai;(source:Araport11)
178	AT1G73620	Pathogenesis-related thaumatin superfamily protein		Pathogenesis-related thaumatin superfamily protein;(source:Araport11)
179	AT1G73700	MATE efflux family protein		MATE efflux family protein;(source:Araport11)
180	AT1G73980		TTM1 is a triphosphate tunnel metalloenzyme that displays pyrophosphatase activity. It contains both a uridine kinase (UK) domain,CYTH domain, a coiled-coil domain and a transmembrane domain at the C-terminal Mutants show a delay in leaf senescence. Can functionally complement TTM1 and vise versa. (PMID:28733390)	Phosphoribulokinase / Uridine kinase family;(source:Araport11)
181	AT1G74360	Leucine-rich repeat protein kinase family protein	NILR1 encodes a serine/threonine kinase involved in defense response to nematodes.	Leucine-rich repeat protein kinase family protein;(source:Araport11)
182	AT1G74810			HCO3- transporter family;(source:Araport11)
183	AT1G75040	pathogenesis-related gene 5	Thaumatin-like protein involved in response to pathogens.  mRNA level of the PR-5 gene (At1g75040)is significantly changed after cutting the inflorescence stem indicating the existence of a network of signal transducing pathways as other stress-regulated genes (At5g01410, At3g17800, At1g29930)do not response to the treatment. The mRNA is cell-to-cell mobile.	pathogenesis-related protein 5;(source:Araport11)
184	AT1G75310			auxin-like 1 protein;(source:Araport11)
185	AT1G76930	extensin 4	Encodes an Arabidopsis extensin gene that belongs to cell-wall hydroxyproline-rich glycoproteins.  The cross-link of extensins enforces cell wall strength. Transgenic plants overexpressing this gene show an increase in stem thickness.	extensin 4;(source:Araport11)
186	AT1G76950	Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain		Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain-containing protein;(source:Araport11)
187	AT1G77760	nitrate reductase 1	Encodes the cytosolic minor isoform of nitrate reductase (NR). Involved in the first step of nitrate assimilation, it contributes about 15% of the nitrate reductase activity in shoots. Similar to molybdopterin oxidoreductases at the N-terminus, and to FAD/NAD-binding cytochrome reductases at the C-terminus. Cofactors: FAD, heme iron (cytochrome B-557), and molybdenum-pterin.	nitrate reductase 1;(source:Araport11)
188	AT1G78370	glutathione S-transferase TAU 20	Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002).	glutathione S-transferase TAU 20;(source:Araport11)
189	AT1G79840		Glabra 2, a homeodomain protein affects epidermal cell identity including trichomes, root hairs, and seed coat. It also down-regulates seed oil content. Expressed in atrichoblasts and required to suppress root hair development. Also expressed abundantly during early seed development.  Directly regulated by WER.	HD-ZIP IV family of homeobox-leucine zipper protein with lipid-binding START domain-containing protein;(source:Araport11)
190	AT2G02220	phytosulfokin receptor 1	Encodes a protein interacting with phytosulfokine, a five amino acid sulfated peptide (YIYTQ). Contains dual guanylate cyclase and kinase catalytic activities that operate in vivo.	phytosulfokin receptor 1;(source:Araport11)
191	AT2G03530		Mediate high-affinity uracil and 5-FU (a toxic uracil analogue) transport when expressed in yeast and Xenopus oocytes.Involved in allantoin transport.	ureide permease 2;(source:Araport11)
192	AT2G05120	Nucleoporin, Nup133/Nup155-like		Nucleoporin, Nup133/Nup155-like protein;(source:Araport11)
193	AT2G05250	DNAJ heat shock N-terminal domain-containing protein		DNAJ heat shock N-terminal domain-containing protein;(source:Araport11)
194	AT2G06040		Contributes to UV tolerance through nucleotide excision repair.	F-box/LRR protein;(source:Araport11)
195	AT2G06050	oxophytodienoate-reductase 3	Encodes a 12-oxophytodienoate reductase that is required for jasmonate biosynthesis. Mutants are male sterile and defective in pollen dehiscence. Shows activity towards 2,4,6-trinitrotoluene.  CFA-Ile, CFA-Leu, CFA-Val, CFA-Met and CFA-Ala can restore the fertility of opr3 plants by inducing filament elongation and anther dehiscence.	oxophytodienoate-reductase 3;(source:Araport11)
196	AT2G06850		endoxyloglucan transferase (EXGT-A1) gene	xyloglucan endotransglucosylase/hydrolase 4;(source:Araport11)
197	AT2G10940	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein		Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)
198	AT2G13790	somatic embryogenesis receptor-like kinase 4		somatic embryogenesis receptor-like kinase 4;(source:Araport11)
199	AT2G13820			Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)
200	AT2G15020			hypothetical protein;(source:Araport11)
201	AT2G15042	Leucine-rich repeat (LRR) family protein		Leucine-rich repeat (LRR) family protein;(source:Araport11)
202	AT2G15080	receptor like protein 19		receptor like protein 19;(source:Araport11)
203	AT2G15230	lipase 1	Lipase active on medium and short chain triacylglycerols, but not on phospho- or galactolipids. Active between pH4 and 7 with an optimum at pH6. Knock-out mutant has not obvious phenotype. Predicted to be extracellular.	lipase 1;(source:Araport11)
204	AT2G15390	fucosyltransferase 4	Encodes an alpha-(1,2)-fucosyltransferase.	fucosyltransferase 4;(source:Araport11)
205	AT2G15530			RING/U-box superfamily protein;(source:Araport11)
206	AT2G17040	NAC domain containing protein 36	Member of the NAC transcription factor family and more specifically, the ONAC022 subfamily. Involved in leaf and inflorescence stem morphogenesis. The mRNA is cell-to-cell mobile.	NAC domain containing protein 36;(source:Araport11)
207	AT2G17930	Phosphatidylinositol 3- and 4-kinase family protein with FAT domain	Component of the SPT module of the SAGA complex.	Phosphatidylinositol 3- and 4-kinase family protein with FAT domain-containing protein;(source:Araport11)
208	AT2G18110	Translation elongation  factor EF1B/ribosomal protein S6 family protein		Translation elongation factor EF1B/ribosomal protein S6 family protein;(source:Araport11)
209	AT2G18290	anaphase promoting complex 10	Encodes APC10 (anaphase promoting complex 10).  Overexpression of APC10 likely mimics auxin and ethylene sensitive phenotypes. Plays an essential role in cell proliferation during leaf development.	anaphase promoting complex 10;(source:Araport11)
210	AT2G18330	AAA-type ATPase family protein	Homologue of animal ATPase Family AAA Domain-Containing Protein 3 (ATAD3),   which is involved in mitochondrial nucleoid organization; interacts with SHOT1.	AAA-type ATPase family protein;(source:Araport11)
211	AT2G19130	S-locus lectin protein kinase family protein		S-locus lectin protein kinase family protein;(source:Araport11)
212	AT2G20370	Exostosin family protein	Encodes a xyloglucan galactosyltransferase located in the membrane of Golgi stacks that is involved in the biosynthesis of fucose.  It is also involved in endomembrane organization. It is suggested that it is a dual-function protein that is responsible for actin organization and the synthesis of cell wall materials. The mRNA is cell-to-cell mobile.	Exostosin family protein;(source:Araport11)
213	AT2G20710	Tetratricopeptide repeat (TPR)-like superfamily protein		Tetratricopeptide repeat (TPR)-like superfamily protein;(source:Araport11)
214	AT2G20960			phospholipase-like protein (PEARLI 4) family protein;(source:Araport11)
215	AT2G21140	proline-rich protein 2	Proline-rich protein expressed in expanding leaves, stems, flowers, and siliques.	proline-rich protein 2;(source:Araport11)
216	AT2G21440	RNA-binding (RRM/RBD/RNP motifs) family protein		RNA-binding (RRM/RBD/RNP motifs) family protein;(source:Araport11)
217	AT2G21770	cellulose synthase A9	cellulose synthase, related to CESA6.	cellulose synthase A9;(source:Araport11)
218	AT2G22740	SU(VAR)3-9 homolog 6	Encodes a SU(VAR)3-9 homolog, a methyltransferase involved in histone methylation.  The protein was shown to bind to methylated cytosines of CG, CNG and CNN motifs but has a preference for the latter two. This is a member of a subfamily of SET proteins that shares a conserved SRA domain.	SU(VAR)3-9 homolog 6;(source:Araport11)
219	AT2G23450	Protein kinase superfamily protein		Protein kinase superfamily protein;(source:Araport11)
220	AT2G24050	MIF4G domain-containing protein / MA3 domain-containing protein	Encodes a putative eukaryotic translation initiation factor.	MIF4G domain-containing protein / MA3 domain-containing protein;(source:Araport11)
221	AT2G24120	DNA/RNA polymerases superfamily protein		DNA/RNA polymerases superfamily protein;(source:Araport11)
222	AT2G24600	Ankyrin repeat family protein		Ankyrin repeat family protein;(source:Araport11)
223	AT2G25355	PNAS-3 related		PNAS-3-like protein;(source:Araport11)
224	AT2G25730			zinc finger FYVE domain protein;(source:Araport11)
225	AT2G25850		Encodes a poly(A) polymerase. Located in the nucleus.	poly(A) polymerase 2;(source:Araport11)
226	AT2G26170	cytochrome P450, family 711, subfamily A, polypeptide 1	Encodes a protein with similarity to thromboxane-A synthase, member of the CYP711A cytochrome P450 family. MAX1 is a specific repressor of vegetative axillary buds generated by the axillary meristem. Expressed in vascular traces in the rosette stem and axillary buds throughout plant development. Mutants have increased axillary branches. Along with MAX3,4 thought to mediate control of shoot branching via synthesis of a signal molecule which is transported over long distance mediated by MAX2. cDNA supports the existence of the longer transcript predicted for this locus, no cDNA isolated for shorter transcript. MAX1 downregulates 11 genes involved in flavonoid pathway (CHS, CHI, F3H, F3'H, FLS, DFR, ANS, UFGT, RT, AAC and GST).	cytochrome P450, family 711, subfamily A, polypeptide 1;(source:Araport11)
227	AT2G26890	DNAJ heat shock N-terminal domain-containing protein	GRV2 has sequence similarity to the C. elegans protein RME-8 which is involved in endocytosis.  grv2 mutants result in a reduction in gravitropic response in hypocotyls and shoots but do not affect root gravitropism. The mutants are defective in amyloplast sedimentation.	DNAJ heat shock N-terminal domain-containing protein;(source:Araport11)
228	AT2G27220			BEL1-like homeodomain 5;(source:Araport11)
229	AT2G28260		member of Cyclic nucleotide gated channel family, involved in response to calcium.	cyclic nucleotide-gated channel 15;(source:Araport11)
230	AT2G28290		Encodes a SWI2/SNF2-like protein in the SNF2 subclass. Homozygous plants with null mutations exhibit premature termination of the meristem and carpelloid structures from the inflorescence meristem. Co-activator of floral  homeotic gene expression. Acts with LFY to regulate shoot apical meristem identity. Required for meristem maintenance. Regulates  flowering under a non-inductive photoperiod. It promotes the expression of CUC2 during cotyledon boundary formation.  Affects reproductive shoot apical meristem function by regulating the expression of WUS. In CHiP experiments SYD binds to WUS promoter. Present as two forms in the nucleus, full-length and truncated, with the latter apparently lacking the C-terminal domain. The ratio of the two forms  differs in juvenile and in adult tissues. The C-terminal domain is not required for activity.The mRNA is cell-to-cell mobile.	P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)
231	AT2G28450	zinc finger (CCCH-type) family protein		zinc finger (CCCH-type) family protein;(source:Araport11)
232	AT2G29200		Encodes a member of the Arabidopsis Pumilio (APUM) proteins containing PUF domain (eight repeats of approximately 36 amino acids each). PUF proteins regulate both mRNA stability and translation through sequence-specific binding to the 3 Prime UTR of target mRNA transcripts.	pumilio 1;(source:Araport11)
233	AT2G30200	catalytics;transferases;[acyl-carrier-protein] S-malonyltransferases;binding	Malonyl-ACP expressed in developing seeds. Loss of function mutants are embryo lethal and over expression in seeds leads to increased seed oil content.	EMBRYO DEFECTIVE 3147;(source:Araport11)
234	AT2G30320	Pseudouridine synthase family protein		Pseudouridine synthase family protein;(source:Araport11)
235	AT2G30600			BTB/POZ domain-containing protein;(source:Araport11)
236	AT2G30930			hypothetical protein;(source:Araport11)
237	AT2G31010	Protein kinase superfamily protein		Protein kinase superfamily protein;(source:Araport11)
238	AT2G31380	salt tolerance homologue	a B-box zinc finger protein that interacts with COP1. contains a novel 11 amino acid motif at the C-terminus (also found at the N-terminus of HY5) that is involved in the COP1 interaction.	salt tolerance homologue;(source:Araport11)
239	AT2G31830		Encodes a 5-inositol-polyphosphate phosphatase, that, in vitro, shows some activity against Ins(1,4,5)P3 and PI(3,4,5)P3, but even higher activity against PI(4,5)P2	endonuclease/exonuclease/phosphatase family protein;(source:Araport11)
240	AT2G32530	cellulose synthase-like B3	encodes a gene similar to cellulose synthase	cellulose synthase-like B3;(source:Araport11)
241	AT2G32680	receptor like protein 23	NLP20 LRR receptor protein involved in PAMP mediated immunity.	receptor like protein 23;(source:Araport11)
242	AT2G33210	heat shock protein 60-2	Involved in the RNA splicing of rpl2 and ccmFC introns in mitochondria.	heat shock protein 60-2;(source:Araport11)
243	AT2G33770	phosphate 2	Encodes a ubiquitin-conjugating E2 enzyme. UBC24 mRNA accumulation is suppressed by miR399f, miR399b and miR399c. Involved in phosphate starvation response and mediates degradation of PHO1 and PHT1s at endomembrane. Its expression is responsive to phosphate (Pi) and not phosphite (Phi) in roots and shoots. The mRNA is cell-to-cell mobile.	phosphate 2;(source:Araport11)
244	AT2G34430	light-harvesting chlorophyll-protein complex II subunit B1	Photosystem II type I chlorophyll            a/b-binding protein The mRNA is cell-to-cell mobile.	light-harvesting chlorophyll-protein complex II subunit B1;(source:Araport11)
245	AT2G34660		encodes a multidrug resistance-associated protein that is MgATP-energized glutathione S-conjugate pump.  An ABCC-type arsenite-phytochelatin transporter. The expression of this gene is upregulated by herbicide safeners such as benoxacor and fenclorim.The mRNA is cell-to-cell mobile.	multidrug resistance-associated protein 2;(source:Araport11)
246	AT2G34750	RNA polymerase I specific transcription initiation factor RRN3 protein		RNA polymerase I specific transcription initiation factor RRN3 protein;(source:Araport11)
247	AT2G35110	transcription activators	Component of the WAVE protein complex which act as activators of ARP2/3 complex involved in actin nucleation. Required for trichome morphogenesis. Mutant displays distorted trichomes, a phenotype that can be phenocopied by treatment of WT plants with actin-interacting drugs. Its ER localization is independent of upstream SPK1 activation signaling and the physical association with the WAVE/SCAR Regulatory complex binding partner SRA1. ER-localized NAP1 has little colocalization with actin and represent the inactive pool of NAP1 in these cell types.	transcription activator;(source:Araport11)
248	AT2G35500	shikimate kinase like 2	Encodes a protein with some sequence similarity to shikimate kinases, but a truncated form of this protein (lacking a putative N-terminal chloroplast transit peptide) does not have shikimate kinase activity in vitro.	shikimate kinase like 2;(source:Araport11)
249	AT2G35760	Uncharacterised protein family (UPF0497)		Uncharacterized protein family (UPF0497);(source:Araport11)
250	AT2G36870	xyloglucan endotransglucosylase/hydrolase 32	Encodes a xyloglucan endotransglycosylase/hydrolase. Protein sequence and phylogenetic analysis indicates that this enzyme resides in Group III-A of the XTH family, with high similarity to Tropaeolum majus (nasturtium) xyloglucanase 1 (TmNXG1). By sequence similarity to XTH31 (At3g44990) and in vivo analysis, likely to exhibit predominant xyloglucan endo-hydrolase activity (EC 3.2.1.151) with only limited potential to act as a xyloglucan endo-transglycosylase (EC 2.4.1.207).	xyloglucan endotransglucosylase/hydrolase 32;(source:Araport11)
251	AT2G36970	UDP-Glycosyltransferase superfamily protein		UDP-Glycosyltransferase superfamily protein;(source:Araport11)
252	AT2G37710	receptor lectin kinase	Induced in response to Salicylic acid. The mRNA is cell-to-cell mobile.	receptor lectin kinase;(source:Araport11)
253	AT2G37860		Encodes a protein involved in differential development of bundle sheath and mesophyll cell chloroplasts.	reticulata-like protein, putative (DUF3411);(source:Araport11)
254	AT2G38240	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	One of 4 paralogs encoding a 2-oxoglutarate/Fe(II)-dependent oxygenases  that hydroxylates JA to 12-OH-JA.	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;(source:Araport11)
255	AT2G38440	SCAR homolog 2	Encodes a subunit of the WAVE complex. The WAVE complex is required for activation of ARP2/3 complex which functions in actin microfilament nucleation and branching.   Mutations cause defects in both the actin and microtubule cytoskeletons that result in aberrant epidermal cell expansion. itb1 mutants showed irregularities in trichome branch positioning and expansion. The SHD domain of this protein binds to BRK1 and overexpression of the SHD domain results in a dominant negative phenotype. The mRNA is cell-to-cell mobile.	SCAR homolog 2;(source:Araport11)
256	AT2G38500	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein		2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;(source:Araport11)
257	AT2G38530	lipid transfer protein 2	Involved in lipid transfer between membranes and plays a role in maintaining the integrity of the cuticle-cell wall interface. Belongs to a family of Lipid transfer proteins. Sequence similarity to other plant/Arabidopsis LPT genes but highest similarity to LPT1. Stress and pathogen-inducible motifs found in the upstream region. Expressed in flower, leaves and siliques but absent in roots. Predicted to be a member of PR-14 pathogenesis-related protein family with the following members:   At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15.	lipid transfer protein 2;(source:Araport11)
258	AT2G38540	lipid transfer protein 1	Non-specific lipid transfer protein. Binds calmodulin in a Ca2+-independent manner. Localized to the cell wall. Specifically expressed in L1 epidermal layer. Predicted to be a member of PR-14 pathogenesis-related protein family with the following members:   At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15. The mRNA is cell-to-cell mobile.	lipid transfer protein 1;(source:Araport11)
259	AT2G39330			jacalin-related lectin 23;(source:Araport11)
260	AT2G40840	disproportionating enzyme 2	Encodes a cytosolic protein with transglucosidase and amylomaltase activity.   It is an essential component of the pathway from starch to sucrose and cellular metabolism in leaves at night. The protein binds to heteroglycans and utilizes glucose, mannose and xylose as acceptors. Fucose and galactose can also act as acceptors but less efficiently than the previous three. It was also was also recently reported to act on maltodextrins.  On the other hand, arabinose and fructose were not efficiently used.  Its role probably includes metabolizing maltose exported from the chloroplast. Studies using maltose extracted from the double mutant be2-1 be3-2 showed that this enzyme is preferentially active of &#946;-maltose. The mRNA is cell-to-cell mobile.	disproportionating enzyme 2;(source:Araport11)
261	AT2G41220	glutamate synthase 2	Encodes a gene whose sequence is similar to ferredoxin dependent glutamate synthase (Fd-GOGAT). Expression is most abundant in root. The mRNA is cell-to-cell mobile.	glutamate synthase 2;(source:Araport11)
262	AT2G41700	ATP-binding cassette A1		ATP-binding cassette A1;(source:Araport11)
263	AT2G42270	U5 small nuclear ribonucleoprotein helicase	Similar to yeast Brr2p DEAD/DExH box ATP-dependent RNA helicase.	U5 small nuclear ribonucleoprotein helicase;(source:Araport11)
264	AT2G42600		Encodes one of four Arabidopsis phosphoenolpyruvate carboxylase proteins.PPC1 and PPC2 are crucial for balancing carbon and nitrogen metabolism.	phosphoenolpyruvate carboxylase 2;(source:Araport11)
265	AT2G42890	MEI2-like 2	A member of mei2-like gene family, predominantly plant-based family of genes encoding RNA binding proteins with characteristic presence of a highly conserved RNA binding motif first described in the mei2 gene of the fission yeast S. pombe. In silico analyses reveal nine mei2 -like genes in A. thaliana. They were grouped into four distinct clades, based on overall sequence similarity and subfamily-specific sequence elements. AML2 is a member of two sister clades of mei2-like gene family, AML1 through AML5, and belongs to the clade named ALM235. AML2 is expressed during early embryo development (heart and torpedo stage) and predominantly in vegetative organs; no significant accumulation was detected in floral apices.	MEI2-like 2;(source:Araport11)
266	AT2G42940	Predicted AT-hook DNA-binding family protein	Encodes a nuclear matrix protein with  AT-hook DNA binding motifs that acts in the maintenance of genomic integrity by silencing TEs and repeat-containing genes through epigenetic machinery.  It interacts with FVE and MSI5 which are components of HDAC corepressor complexes.  It is expressed in tapetum during the tetrad stage.	Putative AT-hook DNA-binding family protein;(source:Araport11)
267	AT2G43500			Plant regulator RWP-RK family protein;(source:Araport11)
268	AT2G43620	Chitinase family protein		Chitinase family protein;(source:Araport11)
269	AT2G44290	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein		Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)
270	AT2G44400	Cysteine/Histidine-rich C1 domain family protein		Cysteine/Histidine-rich C1 domain family protein;(source:Araport11)
271	AT2G45510	cytochrome P450, family 704, subfamily A, polypeptide 2	member of CYP704A	cytochrome P450, family 704, subfamily A, polypeptide 2;(source:Araport11)
272	AT2G46440		Member of Cyclic nucleotide gated channel family. Positive regulator of resistance against avirulent fungal pathogen.The mRNA is cell-to-cell mobile.	cyclic nucleotide-gated channels;(source:Araport11)
273	AT2G46450		Member of Cyclic nucleotide gated channel family.Positive regulator of resistance against avirulent fungal pathogen.Suppresses the phenotype conferred by cpr22 in a dosage-dependent manner.	cyclic nucleotide-gated channel 12;(source:Araport11)
274	AT2G47000		Encodes an auxin efflux transmembrane transporter that is a member of the multidrug resistance  P-glycoprotein (MDR/PGP) subfamily of ABC transporters. Functions in the basipetal  redirection of auxin from the root tip. Exhibits apolar plasma membrane localization in the root cap and polar localization in tissues above and is involved in root hair elongation.	ATP binding cassette subfamily B4;(source:Araport11)
275	AT2G47800	multidrug resistance-associated protein 4	Encodes a plasma membrane localized ATPase transporter involved in multidrug transport.  The expression of this gene is upregulated by herbicide safeners such as benoxacor, fluxofenim and fenclorim. The mRNA is cell-to-cell mobile.	multidrug resistance-associated protein 4;(source:Araport11)
276	AT2G47880	Glutaredoxin family protein	Encodes a member of the CC-type glutaredoxin (ROXY) family. CEPD2 is a non secreted polypeptide that is highly similar to  CEPD1 which is another member of a novel family related to glutaredoxins. It is induced by nitrogen starvation. It acts downstream of the CEP1 peptide in systemic N-demand signalling .The RNA is expressed in the phloem of cotelydon and leaf vasculature but the peptide is graft transmissible, traveling from the shoot to the root.	Glutaredoxin family protein;(source:Araport11)
277	AT2G47990	transducin family protein / WD-40 repeat family protein	Encodes a transducin family nucleolar protein with six WD40 repeats that is most likely involved in 18S rRNA biogenesis. The slow progression of the gametophytic division cycles in swa1 suggested that the SWA1 protein is required for the normal progression of mitotic division cycles through the regulation of cell metabolism. Ubiquitously expressed throughout the plant.	transducin family protein / WD-40 repeat family protein;(source:Araport11)
278	AT3G02020	aspartate kinase 3	encodes a monofunctional aspartate kinase	aspartate kinase 3;(source:Araport11)
279	AT3G02050	K+ uptake transporter 3	potassium transporter KUP3p (KUP3)	K+ uptake transporter 3;(source:Araport11)
280	AT3G02260		Calossin-like protein required for polar auxin transport. Involved in regulating sugar response and C/N balance.	auxin transport protein (BIG);(source:Araport11)
281	AT3G03190	glutathione S-transferase F11	Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).	glutathione S-transferase F11;(source:Araport11)
282	AT3G03710	polyribonucleotide nucleotidyltransferase, putative	Encodes a chloroplast polynucleotide phosphorylase (PNPase).  Involved in response to phosphorus (P) starvation. Mutants impaired in the expression of this gene have been selected through their resistance to fosmidomycin, a strong inhibitor of DXR, an enzyme of the methylerythritol-dependent IPP biosynthesis pathway. The pathway enzymes were upregulated in the mutant seedlings.	polyribonucleotide nucleotidyltransferase;(source:Araport11)
