Gene_name	Gene_symbol	TairAliases	ShortDescription	ComputationalDescription
AT5G08230	AT5G08230	HULK1, SL5	Tudor/PWWP/MBT domain-containing protein	tudor/PWWP/MBT domain protein;(source:Araport11)
AT2G02220	PSKR1	ATPSKR1, PSKR1	phytosulfokin receptor 1	phytosulfokin receptor 1;(source:Araport11)
AT1G55860	UPL1	UPL1	ubiquitin-protein ligase 1	LOW protein: E3 ubiquitin ligase-like protein;(source:Araport11)
AT1G63750	AT1G63750		Disease resistance protein (TIR-NBS-LRR class) family	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
AT3G14460	AT3G14460	LRRAC1	LRR and NB-ARC domains-containing disease resistance protein	LRR and NB-ARC domains-containing disease resistance protein;(source:Araport11)
AT4G24450	PWD	At4g24450, ATGWD2, GWD3, PWD	phosphoglucan, water dikinase	phosphoglucan, water dikinase;(source:Araport11)
AT5G15090	VDAC3	AtVDAC-3, ATVDAC3, VDAC3	voltage dependent anion channel 3	voltage dependent anion channel 3;(source:Araport11)
AT1G16390	OCT3	ATOCT3, OCT3	organic cation/carnitine transporter 3	organic cation/carnitine transporter 3;(source:Araport11)
AT4G12910	scpl20	scpl20	serine carboxypeptidase-like 20	serine carboxypeptidase-like 20;(source:Araport11)
AT1G09240	NAS3	ATNAS3, NAS3	nicotianamine synthase 3	nicotianamine synthase 3;(source:Araport11)
AT1G30240	AT1G30240		NULL	proline-, glutamic acid/leucine-rich protein;(source:Araport11)
AT5G02760	AT5G02760	APD7, SSPP	Protein phosphatase 2C family protein	Protein phosphatase 2C family protein;(source:Araport11)
AT1G67420	AT1G67420		Zn-dependent exopeptidases superfamily protein	Zn-dependent exopeptidases superfamily protein;(source:Araport11)
AT1G65450	GLC	GLC	HXXXD-type acyl-transferase family protein	HXXXD-type acyl-transferase family protein;(source:Araport11)
AT1G65790	RK1	ARK1, RK1, SDK1	receptor kinase 1	receptor kinase 1;(source:Araport11)
AT2G46450	CNGC12	ATCNGC12, CNGC12	cyclic nucleotide-gated channel 12	cyclic nucleotide-gated channel 12;(source:Araport11)
AT5G51070	ERD1	CLPD, ERD1, SAG15	Clp ATPase	Clp ATPase;(source:Araport11)
AT1G29030	AT1G29030		Apoptosis inhibitory protein 5 (API5)	Apoptosis inhibitory protein 5 (API5);(source:Araport11)
AT1G15125	AT1G15125		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein;(source:Araport11)
AT2G40840	DPE2	DPE2	disproportionating enzyme 2	disproportionating enzyme 2;(source:Araport11)
AT2G30320	AT2G30320	TRUA2	Pseudouridine synthase family protein	Pseudouridine synthase family protein;(source:Araport11)
AT1G58230	AT1G58230	BCHB	binding	binding protein;(source:Araport11)
AT1G35720	ANNAT1	ANN1, ANNAT1, AtANN1, ATOXY5, OXY5	annexin 1	annexin 1;(source:Araport11)
AT4G05050	UBQ11	UBQ11	ubiquitin 11	ubiquitin 11;(source:Araport11)
AT5G44020	AT5G44020		HAD superfamily, subfamily IIIB acid phosphatase 	HAD superfamily, subfamily IIIB acid phosphatase;(source:Araport11)
AT5G04930	ALA1	ALA1	aminophospholipid ATPase 1	aminophospholipid ATPase 1;(source:Araport11)
AT3G49120	PRXCB	ATPCB, ATPERX34, AtPRX34, PERX34, PRX34, PRXCB	peroxidase CB	peroxidase CB;(source:Araport11)
AT1G14850	NUP155	NUP155	nucleoporin 155	nucleoporin 155;(source:Araport11)
AT5G19850	AT5G19850		alpha/beta-Hydrolases superfamily protein	alpha/beta-Hydrolases superfamily protein;(source:Araport11)
AT5G13640	PDAT	ATPDAT, PDAT, PDAT1	phospholipid:diacylglycerol acyltransferase	phospholipid:diacylglycerol acyltransferase;(source:Araport11)
AT1G35710	AT1G35710		Protein kinase family protein with leucine-rich repeat domain	kinase family with leucine-rich repeat domain-containing protein;(source:Araport11)
AT1G29900	CARB	CARB, VEN3	carbamoyl phosphate synthetase B	carbamoyl phosphate synthetase B;(source:Araport11)
AT5G22300	NIT4	AtNIT4, NIT4	nitrilase 4	nitrilase 4;(source:Araport11)
AT2G21440	AT2G21440		RNA-binding (RRM/RBD/RNP motifs) family protein	RNA-binding (RRM/RBD/RNP motifs) family protein;(source:Araport11)
AT5G11170	UAP56a	UAP56a	DEAD/DEAH box RNA helicase family protein 	DEAD/DEAH box RNA helicase family protein;(source:Araport11)
AT1G34460	CYCB1;5	CYC3, CYCB1;5	CYCLIN B1;5	CYCLIN B1;(source:Araport11)
AT2G20710	AT2G20710		Tetratricopeptide repeat (TPR)-like superfamily protein	Tetratricopeptide repeat (TPR)-like superfamily protein;(source:Araport11)
AT5G62050	OXA1	ATOXA1, OXA1, OXA1a, OXA1AT	homolog of yeast oxidase assembly 1 (OXA1)	inner membrane OXA1-like protein;(source:Araport11)
AT4G12030	BAT5	BASS5, BAT5	bile acid transporter 5	bile acid transporter 5;(source:Araport11)
AT3G21250	ABCC8	ABCC8, ATMRP6, MRP6	multidrug resistance-associated protein 6	multidrug resistance-associated protein 6;(source:Araport11)
AT4G11270	AT4G11270		Transducin/WD40 repeat-like superfamily protein	Transducin/WD40 repeat-like superfamily protein;(source:Araport11)
AT1G62560	FMO GS-OX3	FMO GS-OX3	flavin-monooxygenase glucosinolate S-oxygenase 3	flavin-monooxygenase glucosinolate S-oxygenase 3;(source:Araport11)
AT3G06530	AT3G06530		ARM repeat superfamily protein	ARM repeat superfamily protein;(source:Araport11)
AT4G18205	AT4G18205	AtPUP21, PUP21	Nucleotide-sugar transporter family protein	Nucleotide-sugar transporter family protein;(source:Araport11)
AT1G60590	AT1G60590		Pectin lyase-like superfamily protein	Pectin lyase-like superfamily protein;(source:Araport11)
AT3G43270	AT3G43270	PMEI-PME32	Plant invertase/pectin methylesterase inhibitor superfamily	Plant invertase/pectin methylesterase inhibitor superfamily;(source:Araport11)
AT5G49910	cpHsc70-2	cpHsc70-2, HSC70-7, HSP70-7	chloroplast heat shock protein 70-2	chloroplast heat shock protein 70-2;(source:Araport11)
AT3G20540	POLGAMMA1	POLGAMMA1, PolIB	polymerase gamma 1	polymerase gamma 1;(source:Araport11)
AT4G36580	AT4G36580	ATAD3B2, SBA4	AAA-type ATPase family protein	AAA-type ATPase family protein;(source:Araport11)
AT1G71240	AT1G71240		Plant protein of unknown function (DUF639)	chromosome-partitioning protein, putative (DUF639);(source:Araport11)
AT2G39330	JAL23	JAL23	jacalin-related lectin 23	jacalin-related lectin 23;(source:Araport11)
AT5G45260	RRS1	ATWRKY52, RRS1, RRS1-R, SLH1	Disease resistance protein (TIR-NBS-LRR class)	Disease resistance protein (TIR-NBS-LRR class);(source:Araport11)
AT5G23300	PYRD	PYRD	pyrimidine d	pyrimidine d;(source:Araport11)
AT5G47480	AT5G47480	MAG5	RGPR-related	RGPR-like protein;(source:Araport11)
AT1G12110	NRT1.1	AtNPF6.3, ATNRT1, B-1, CHL1, CHL1-1, NPF6.3, NRT1, NRT1.1	nitrate transporter 1.1	nitrate transporter 1.1;(source:Araport11)
AT4G11800	AT4G11800		Calcineurin-like metallo-phosphoesterase superfamily protein	Calcineurin-like metallo-phosphoesterase superfamily protein;(source:Araport11)
AT2G13790	SERK4	ATSERK4, BAK7, BKK1, SERK4	somatic embryogenesis receptor-like kinase 4	somatic embryogenesis receptor-like kinase 4;(source:Araport11)
AT3G47160	AT3G47160		RING/U-box superfamily protein	RING/U-box superfamily protein;(source:Araport11)
AT5G40060	AT5G40060		Disease resistance protein (NBS-LRR class) family	Disease resistance protein (NBS-LRR class) family;(source:Araport11)
AT5G05570	AT5G05570	TMS	transducin family protein / WD-40 repeat family protein	transducin family protein / WD-40 repeat family protein;(source:Araport11)
AT4G13800	AT4G13800	ENOR3L3	Protein of unknown function (DUF803)	magnesium transporter NIPA (DUF803);(source:Araport11)
AT3G47450	NOA1	ATNOA1, ATNOS1, COE2, NOA1, NOS1, RIF1, SVR10	P-loop containing nucleoside triphosphate hydrolases superfamily protein	P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)
AT5G56860	GNC	GATA21, GNC	GATA type zinc finger transcription factor family protein	GATA type zinc finger transcription factor family protein;(source:Araport11)
AT1G06080	ADS1	ADS1, AtADS1	delta 9 desaturase 1	delta 9 desaturase 1;(source:Araport11)
AT4G34890	XDH1	ATXDH1, XDH1	xanthine dehydrogenase 1	xanthine dehydrogenase 1;(source:Araport11)
AT3G59290	AT3G59290	EPS3	ENTH/VHS family protein	ENTH/VHS family protein;(source:Araport11)
AT5G40910	AT5G40910		Disease resistance protein (TIR-NBS-LRR class) family	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
AT1G02850	BGLU11	BGLU11	beta glucosidase 11	beta glucosidase 11;(source:Araport11)
AT5G51100	FSD2	FSD2, PAP9	Fe superoxide dismutase 2	Fe superoxide dismutase 2;(source:Araport11)
AT4G12570	UPL5	UPL5	ubiquitin protein ligase 5	ubiquitin protein ligase 5;(source:Araport11)
AT5G49760	AT5G49760	CARD1, HPCA1	Leucine-rich repeat protein kinase family protein	Leucine-rich repeat protein kinase family protein;(source:Araport11)
AT5G18525	AT5G18525	gfs12	protein serine/threonine kinases;protein tyrosine kinases;ATP binding;protein kinases	protein serine/threonine kinase;(source:Araport11)
AT2G24600	AT2G24600		Ankyrin repeat family protein	Ankyrin repeat family protein;(source:Araport11)
AT1G45145	TRX5	ATH5, ATTRX5, LIV1, TRX-h5, TRX5, TRXh5	thioredoxin H-type 5	thioredoxin H-type 5;(source:Araport11)
AT3G60180	AT3G60180	UMK1	P-loop containing nucleoside triphosphate hydrolases superfamily protein	P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)
AT4G17610	AT4G17610	AtTRM3, TRM3	tRNA/rRNA methyltransferase (SpoU) family protein	tRNA/rRNA methyltransferase (SpoU) family protein;(source:Araport11)
AT3G19190	ATG2	ATATG2, ATG2, PEUP1	autophagy 2	autophagy 2;(source:Araport11)
AT3G22380	TIC	TIC	time for coffee	time for coffee;(source:Araport11)
AT5G24810	AT5G24810	ABC1K11	ABC1 family protein	ABC1 family protein;(source:Araport11)
AT2G42270	AT2G42270	BRR2b	U5 small nuclear ribonucleoprotein helicase	U5 small nuclear ribonucleoprotein helicase;(source:Araport11)
AT2G15080	RLP19	AtRLP19, RLP19	receptor like protein 19	receptor like protein 19;(source:Araport11)
AT1G68990	MGP3	MGP3, RPOTm	male gametophyte defective 3	male gametophyte defective 3;(source:Araport11)
AT1G05570	CALS1	ATGSL06, ATGSL6, CALS1, GSL06, GSL6	callose synthase 1	callose synthase 1;(source:Araport11)
AT3G57660	NRPA1	NRPA1	nuclear RNA polymerase A1	nuclear RNA polymerase A1;(source:Araport11)
AT4G04490	CRK36	CRK36	cysteine-rich RLK (RECEPTOR-like protein kinase) 36	cysteine-rich RLK (RECEPTOR-like protein kinase) 36;(source:Araport11)
AT3G27670	RST1	CER13, RST1	ARM repeat superfamily protein	ARM repeat superfamily protein;(source:Araport11)
AT5G41740	AT5G41740		Disease resistance protein (TIR-NBS-LRR class) family	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
AT5G26860	LON1	LON1, LON_ARA_ARA	lon protease 1	lon protease 1;(source:Araport11)
AT1G55850	CSLE1	ATCSLE1, CSLE1	cellulose synthase like E1	cellulose synthase like E1;(source:Araport11)
AT3G23370	AT3G23370		RNA-binding (RRM/RBD/RNP motifs) family protein	RNA-binding (RRM/RBD/RNP motifs) family protein;(source:Araport11)
AT1G23230	AT1G23230	MED23	NULL	mediator of RNA polymerase II transcription subunit;(source:Araport11)
AT3G20440	EMB2729	BE1, EMB2729	Alpha amylase family protein	Alpha amylase family protein;(source:Araport11)
AT3G16670	AT3G16670		Pollen Ole e 1 allergen and extensin family protein	Pollen Ole e 1 allergen and extensin family protein;(source:Araport11)
AT3G11080	RLP35	AtRLP35, RLP35	receptor like protein 35	receptor like protein 35;(source:Araport11)
AT2G29200	PUM1	APUM1, PUM1	pumilio 1	pumilio 1;(source:Araport11)
AT3G57300	INO80	ATINO80, INO80	INO80 ortholog	DNA helicase INO80-like protein;(source:Araport11)
AT5G46510	AT5G46510	VICTL	Disease resistance protein (TIR-NBS-LRR class) family	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
AT4G23130	CRK5	CRK5, RLK6	cysteine-rich RLK (RECEPTOR-like protein kinase) 5	cysteine-rich RLK (RECEPTOR-like protein kinase) 5;(source:Araport11)
AT5G39840	AT5G39840		ATP-dependent RNA helicase, mitochondrial, putative	ATP-dependent RNA helicase;(source:Araport11)
AT4G28710	XIH	ATXIH, XIH	Myosin family protein with Dil domain	Myosin family protein with Dil domain-containing protein;(source:Araport11)
AT3G04210	AT3G04210	TN13	Disease resistance protein (TIR-NBS class)	Disease resistance protein (TIR-NBS class);(source:Araport11)
AT3G47010	AT3G47010		Glycosyl hydrolase family protein	Glycosyl hydrolase family protein;(source:Araport11)
AT1G21130	IGMT4	IGMT4	O-methyltransferase family protein	O-methyltransferase family protein;(source:Araport11)
AT5G39020	AT5G39020	MDS3	Malectin/receptor-like protein kinase family protein	Malectin/receptor-like protein kinase family protein;(source:Araport11)
AT3G52250	AT3G52250	PWR	Duplicated homeodomain-like superfamily protein	Duplicated homeodomain-like superfamily protein;(source:Araport11)
AT3G29590	AT5MAT	AT5MAT	HXXXD-type acyl-transferase family protein	HXXXD-type acyl-transferase family protein;(source:Araport11)
AT1G20720	AT1G20720		RAD3-like DNA-binding helicase protein	RAD3-like DNA-binding helicase protein;(source:Araport11)
AT3G43920	DCL3	ATDCL3, DCL3	dicer-like 3	dicer-like 3;(source:Araport11)
AT4G19960	KUP9	ATKUP9, HAK9, KT9, KUP9	K+ uptake permease 9	K+ uptake permease 9;(source:Araport11)
AT5G57110	ACA8	ACA8, AT-ACA8	autoinhibited Ca2+ -ATPase, isoform 8	autoinhibited Ca2+ -ATPase, isoform 8;(source:Araport11)
AT5G49890	CLC-C	ATCLC-C, CLC-C	chloride channel C	chloride channel C;(source:Araport11)
AT1G29720	AT1G29720	RKFL1	Leucine-rich repeat transmembrane protein kinase	Leucine-rich repeat transmembrane protein kinase;(source:Araport11)
AT3G54600	DJ1F	DJ-1f, DJ1F	Class I glutamine amidotransferase-like superfamily protein	Class I glutamine amidotransferase-like superfamily protein;(source:Araport11)
AT2G15230	LIP1	ATLIP1, LIP1	lipase 1	lipase 1;(source:Araport11)
AT1G64710	AT1G64710		GroES-like zinc-binding dehydrogenase family protein	GroES-like zinc-binding alcohol dehydrogenase family protein;(source:Araport11)
AT2G21140	PRP2	ATPRP2, PRP2	proline-rich protein 2	proline-rich protein 2;(source:Araport11)
AT4G18600	WAVE5	ATSCAR-LIKE, SCARL, WAVE5	SCAR family protein	SCAR family protein;(source:Araport11)
AT5G54710	AT5G54710		Ankyrin repeat family protein	Ankyrin repeat family protein;(source:Araport11)
AT3G22235	AT3G22235	AthCYSTM8	NULL	cysteine-rich TM module stress tolerance protein;(source:Araport11)
AT1G48430	AT1G48430		Dihydroxyacetone kinase	Dihydroxyacetone kinase;(source:Araport11)
AT2G47800	ABCC4	ABCC4, ATMRP4, EST3, MRP4	multidrug resistance-associated protein 4	multidrug resistance-associated protein 4;(source:Araport11)
AT4G15660	AT4G15660	GRXS8, ROXY15	Thioredoxin superfamily protein	Thioredoxin superfamily protein;(source:Araport11)
AT5G11250	AT5G11250	BURNOUT1	Disease resistance protein (TIR-NBS-LRR class)	Disease resistance protein (TIR-NBS-LRR class);(source:Araport11)
AT3G03710	RIF10	AtKH10, PDE326, PNP, RIF10	polyribonucleotide nucleotidyltransferase, putative	polyribonucleotide nucleotidyltransferase;(source:Araport11)
AT3G16840	AT3G16840	RH13	P-loop containing nucleoside triphosphate hydrolases superfamily protein	P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)
AT2G26890	GRV2	GRV2, KAM2, MTV12, SGR8	DNAJ heat shock N-terminal domain-containing protein	DNAJ heat shock N-terminal domain-containing protein;(source:Araport11)
AT4G30950	FAD6	FAD6, FADC, SFD4	fatty acid desaturase 6	fatty acid desaturase 6;(source:Araport11)
AT3G23640	HGL1	HGL1	heteroglycan glucosidase 1	heteroglycan glucosidase 1;(source:Araport11)
AT5G45510	AT5G45510		Leucine-rich repeat (LRR) family protein	Leucine-rich repeat (LRR) family protein;(source:Araport11)
AT2G38440	SCAR2	ATSCAR2, DIS3, ITB1, SCAR2, WAVE4	SCAR homolog 2	SCAR homolog 2;(source:Araport11)
AT1G56540	AT1G56540	WRR4B	Disease resistance protein (TIR-NBS-LRR class) family	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
AT1G67560	LOX6	ATLOX6, LOX6	PLAT/LH2 domain-containing lipoxygenase family protein	PLAT/LH2 domain-containing lipoxygenase family protein;(source:Araport11)
AT1G60420	AT1G60420	AtNRX1, NRX1	DC1 domain-containing protein	DC1 domain-containing protein;(source:Araport11)
AT3G59010	PME61	PME35, PME61	pectin methylesterase 61	pectin methylesterase 61;(source:Araport11)
AT1G54010	AT1G54010	GELP23, GLL23	GDSL-like Lipase/Acylhydrolase superfamily protein	GDSL-like Lipase/Acylhydrolase superfamily protein;(source:Araport11)
AT2G44290	AT2G44290	LTPG13	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)
AT5G39030	AT5G39030	MDS4	Protein kinase superfamily protein	Protein kinase superfamily protein;(source:Araport11)
AT5G63930	AT5G63930		Leucine-rich repeat protein kinase family protein	Leucine-rich repeat protein kinase family protein;(source:Araport11)
AT4G30610	BRS1	BRS1, SCPL24	alpha/beta-Hydrolases superfamily protein	alpha/beta-Hydrolases superfamily protein;(source:Araport11)
AT2G35500	SKL2	SKL2	shikimate kinase like 2	shikimate kinase like 2;(source:Araport11)
AT2G26170	CYP711A1	CYP711A1, MAX1	cytochrome P450, family 711, subfamily A, polypeptide 1	cytochrome P450, family 711, subfamily A, polypeptide 1;(source:Araport11)
AT2G18330	AT2G18330	ATAD3B1, SBA3	AAA-type ATPase family protein	AAA-type ATPase family protein;(source:Araport11)
AT1G69200	FLN2	FLN2	fructokinase-like 2	fructokinase-like protein;(source:Araport11)
AT2G47990	SWA1	EDA13, EDA19, SWA1	transducin family protein / WD-40 repeat family protein	transducin family protein / WD-40 repeat family protein;(source:Araport11)
AT1G14790	RDR1	AtRDR1, ATRDRP1, RDR1	RNA-dependent RNA polymerase 1	RNA-dependent RNA polymerase 1;(source:Araport11)
AT2G38240	AT2G38240	JAO4, JOX4	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;(source:Araport11)
AT2G05250	AT2G05250		DNAJ heat shock N-terminal domain-containing protein	DNAJ heat shock N-terminal domain-containing protein;(source:Araport11)
AT4G28780	AT4G28780		GDSL-like Lipase/Acylhydrolase superfamily protein	GDSL-like Lipase/Acylhydrolase superfamily protein;(source:Araport11)
AT3G23120	RLP38	AtRLP38, RLP38	receptor like protein 38	receptor like protein 38;(source:Araport11)
AT2G22740	SUVH6	SDG23, SUVH6	SU(VAR)3-9 homolog 6	SU(VAR)3-9 homolog 6;(source:Araport11)
AT4G04970	GSL1	ATGSL01, ATGSL1, GSL01, GSL1	glucan synthase-like 1	glucan synthase-like 1;(source:Araport11)
AT3G02050	KUP3	ATKT4, ATKUP3, KUP3	K+ uptake transporter 3	K+ uptake transporter 3;(source:Araport11)
AT3G19710	BCAT4	BCAT4	branched-chain aminotransferase4	branched-chain aminotransferase4;(source:Araport11)
AT1G61300	AT1G61300		LRR and NB-ARC domains-containing disease resistance protein	LRR and NB-ARC domains-containing disease resistance protein;(source:Araport11)
AT4G09820	TT8	AtTT8, BHLH42, TT8	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	basic helix-loop-helix (bHLH) DNA-binding superfamily protein;(source:Araport11)
AT1G75310	AUL1	AUL1	auxin-like 1 protein	auxin-like 1 protein;(source:Araport11)
AT1G22930	AT1G22930		T-complex protein 11	T-complex protein 11;(source:Araport11)
AT2G18110	AT2G18110		Translation elongation  factor EF1B/ribosomal protein S6 family protein	Translation elongation factor EF1B/ribosomal protein S6 family protein;(source:Araport11)
AT1G63810	AT1G63810		NULL	nucleolar protein;(source:Araport11)
AT1G63880	AT1G63880		Disease resistance protein (TIR-NBS-LRR class) family	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
AT1G74360	AT1G74360	GRACE, NILR1	Leucine-rich repeat protein kinase family protein	Leucine-rich repeat protein kinase family protein;(source:Araport11)
AT3G12360	ITN1	ITN1	Ankyrin repeat family protein	Ankyrin repeat family protein;(source:Araport11)
AT1G43620	UGT80B1	TT15, TTG15, UGT80B1	UDP-Glycosyltransferase superfamily protein	UDP-Glycosyltransferase superfamily protein;(source:Araport11)
AT4G27010	EMB2788	EMB2788	NULL	ribosome 60S biogenesis amino-terminal protein;(source:Araport11)
AT5G15950	AT5G15950	SAMDC2	Adenosylmethionine decarboxylase family protein	Adenosylmethionine decarboxylase family protein;(source:Araport11)
AT1G51805	AT1G51805	SIF3	Leucine-rich repeat protein kinase family protein	Leucine-rich repeat protein kinase family protein;(source:Araport11)
AT1G77760	NIA1	GNR1, NIA1, NR1	nitrate reductase 1	nitrate reductase 1;(source:Araport11)
AT5G02870	AT5G02870	RPL4, uL4y	Ribosomal protein L4/L1 family	Ribosomal protein L4/L1 family;(source:Araport11)
AT5G62730	AT5G62730		Major facilitator superfamily protein	Major facilitator superfamily protein;(source:Araport11)
AT5G22690	AT5G22690		Disease resistance protein (TIR-NBS-LRR class) family	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
AT1G65860	FMO GS-OX1	FMO GS-OX1	flavin-monooxygenase glucosinolate S-oxygenase 1	flavin-monooxygenase glucosinolate S-oxygenase 1;(source:Araport11)
AT1G35290	AT1G35290	ALT1	Thioesterase superfamily protein	Thioesterase superfamily protein;(source:Araport11)
AT5G10760	AT5G10760	AED1	Eukaryotic aspartyl protease family protein	Eukaryotic aspartyl protease family protein;(source:Araport11)
AT4G22690	CYP706A1	CYP706A1	cytochrome P450, family 706, subfamily A, polypeptide 1	cytochrome P450, family 706, subfamily A, polypeptide 1;(source:Araport11)
AT2G27220	BLH5	BLH5	BEL1-like homeodomain 5	BEL1-like homeodomain 5;(source:Araport11)
AT4G19510	AT4G19510		Disease resistance protein (TIR-NBS-LRR class)	Disease resistance protein (TIR-NBS-LRR class);(source:Araport11)
AT4G11900	AT4G11900		S-locus lectin protein kinase family protein	S-locus lectin protein kinase family protein;(source:Araport11)
AT3G59580	AT3G59580	NLP9	Plant regulator RWP-RK family protein	Plant regulator RWP-RK family protein;(source:Araport11)
AT3G47520	MDH	MDH, pNAD-MDH	malate dehydrogenase	malate dehydrogenase;(source:Araport11)
AT1G20190	EXPA11	ATEXP11, ATEXPA11, ATHEXP ALPHA 1.14, EXP11, EXPA11	expansin 11	expansin 11;(source:Araport11)
AT1G70250	AT1G70250	LTPG32	receptor serine/threonine kinase, putative	receptor serine/threonine kinase;(source:Araport11)
AT3G17205	UPL6	UPL6	ubiquitin protein ligase 6	ubiquitin protein ligase 6;(source:Araport11)
AT1G50360	VIIIA	ATVIIIA, VIIIA	P-loop containing nucleoside triphosphate hydrolases superfamily protein	P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)
AT3G33530	AT3G33530		Transducin family protein / WD-40 repeat family protein	Transducin family protein / WD-40 repeat family protein;(source:Araport11)
AT5G06043	AT5G06043		NULL	hypothetical protein;(source:Araport11)
AT1G73700	AT1G73700		MATE efflux family protein	MATE efflux family protein;(source:Araport11)
AT4G20020	MORF1	MORF1	NULL	multiple organellar RNA editing factor;(source:Araport11)
AT4G13810	RLP47	AtRLP47, RLP47	receptor like protein 47	receptor like protein 47;(source:Araport11)
AT3G57520	SIP2	AtSIP2, RS2, SIP2	seed imbibition 2	seed imbibition 2;(source:Araport11)
AT5G55390	EDM2	EDM2	ENHANCED DOWNY MILDEW 2	ENHANCED DOWNY MILDEW 2;(source:Araport11)
AT3G27180	AT3G27180		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein;(source:Araport11)
AT3G04710	TPR10	TPR10	ankyrin repeat family protein	ankyrin repeat family protein;(source:Araport11)
AT5G61520	AT5G61520		Major facilitator superfamily protein	Major facilitator superfamily protein;(source:Araport11)
AT3G25020	RLP42	AtRLP42, RBPG1, RLP42	receptor like protein 42	receptor like protein 42;(source:Araport11)
AT1G16710	HAC12	HAC12	histone acetyltransferase of the CBP family 12	histone acetyltransferase of the CBP family 12;(source:Araport11)
AT3G45830	AT3G45830	NFRKB1	NULL	nuclear factor kappa-B-binding-like protein;(source:Araport11)
AT2G28450	AT2G28450	AtC3H24, TRM2b	zinc finger (CCCH-type) family protein	zinc finger (CCCH-type) family protein;(source:Araport11)
AT1G67620	AT1G67620		Lojap-related protein	Lojap-related protein;(source:Araport11)
AT3G15120	AT3G15120	BRP1	P-loop containing nucleoside triphosphate hydrolases superfamily protein	P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)
AT3G57260	BGL2	AtBG2, AtPR2, BG2, BGL2, GNS2, PDBG2, PR-2, PR2	beta-1,3-glucanase 2	beta-1,3-glucanase 2;(source:Araport11)
AT1G71890	SUC5	ATSUC5, SUC5	Major facilitator superfamily protein	Major facilitator superfamily protein;(source:Araport11)
AT2G33210	HSP60-2	HSP60, HSP60-2	heat shock protein 60-2	heat shock protein 60-2;(source:Araport11)
AT5G15540	EMB2773	ATSCC2, EMB2773, SCC2	PHD finger family protein	PHD finger family protein;(source:Araport11)
AT1G51790	AT1G51790		Leucine-rich repeat protein kinase family protein	Leucine-rich repeat protein kinase family protein;(source:Araport11)
AT5G45820	CIPK20	CIPK20, PKS18, SnRK3.6	CBL-interacting protein kinase 20	CBL-interacting protein kinase 20;(source:Araport11)
AT2G06850	XTH4	EXGT-A1, EXT, XTH4	xyloglucan endotransglucosylase/hydrolase 4	xyloglucan endotransglucosylase/hydrolase 4;(source:Araport11)
AT5G40890	CLC-A	ATCLC-A, ATCLCA, CLC-A, CLCA	chloride channel A	chloride channel A;(source:Araport11)
AT1G48570	AT1G48570		zinc finger (Ran-binding) family protein	zinc finger (Ran-binding) family protein;(source:Araport11)
AT1G13110	CYP71B7	CYP71B7	cytochrome P450, family 71 subfamily B, polypeptide 7	cytochrome P450, family 71 subfamily B, polypeptide 7;(source:Araport11)
AT1G43560	ty2	Aty2, ty2	thioredoxin Y2	thioredoxin Y2;(source:Araport11)
AT1G54920	AT1G54920		NULL	hypothetical protein;(source:Araport11)
AT5G52940	AT5G52940	AtDOB5	Protein of unknown function (DUF295)	hypothetical protein (DUF295);(source:Araport11)
AT1G67040	TRM22	TRM22	NULL	DnaA initiator-associating protein;(source:Araport11)
AT1G37130	NIA2	ATNR2, B29, CHL3, NIA2, NIA2-1, NR, NR2	nitrate reductase 2	nitrate reductase 2;(source:Araport11)
AT1G70830	MLP28	MLP28	MLP-like protein 28	MLP-like protein 28;(source:Araport11)
AT4G32850	nPAP	nPAP, PAP(IV), PAPS4	nuclear poly(a) polymerase	nuclear poly(a) polymerase;(source:Araport11)
AT2G17040	NAC036	anac036, NAC036	NAC domain containing protein 36	NAC domain containing protein 36;(source:Araport11)
AT1G03370	AT1G03370		C2 calcium/lipid-binding and GRAM domain containing protein	C2 calcium/lipid-binding and GRAM domain containing protein;(source:Araport11)
AT4G01010	CNGC13	ATCNGC13, CNGC13	cyclic nucleotide-gated channel 13	cyclic nucleotide-gated channel 13;(source:Araport11)
